Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Weight(kg)
FERRARI,SF90 STRADALE,V8,3990,963,340,2.5,"1,100,000 ",plug in hyrbrid,2,800,1390
ROLLS ROYCE,PHANTOM,V12,6749,563,250,5.3,"460,000 ",Petrol,5,900,2500
Ford,KA+,1.2L Petrol,"1,200 ",85,165,10.5,"12,15,000",Petrol,5,140,1050
MERCEDES,GT 63 S,V8,"3,982 ",630,250,3.2,"161,000 ",Petrol,4,900,1600
AUDI,AUDI R8 Gt,V10,"5,204 ",602,320,3.6,"253,290 ",Petrol,2,560,1700
BMW,Mclaren 720s,V8,"3,994 ",710,341,2.9,"499,000 ",Petrol,2,770,1220
ASTON MARTIN,VANTAGE F1,V8,"3,982 ",656,314,3.6,"193,440 ",Petrol,2,685,1500
BENTLEY,Continental GT Azure,V8,"3,996 ",550,318,4.0,"311,000 ",Petrol,4,900,2000
LAMBORGHINI,VENENO ROADSTER,V12,"6,498 ",750,356,2.9,"4,500,000 ",Petrol,2,690,1560
FERRARI,F8 TRIBUTO,V8,"3,900 ",710,340,2.9,"280,000 ",Petrol,2,770,1270
FERRARI,812 GTS,V12,6496,789,340,2.9,"350,000 ",Petrol,2,718,1620
FERRARI,PORTOFINO,V8,"3,900 ",592,320,3.2,"210,000 ",Petrol,2+2,760,1500
FERRARI,ROMA,V8,"3,900 ",612,320,3.4,"230,000 ",Petrol,2+2,760,1500
FERRARI,MONZA SP2,V12,"6,496 ",789,340,2.9,"1,700,000 ",Petrol,2,719,1540
FERRARI,F8 SPIDER,V8,"3,900 ",710,340,2.9,"280,000 ",Petrol,2,770,1190
FERRARI,PORTOFINO M,V8,"3,900 ",612,320,3.2,"220,000 ",Petrol,2+2,760,1500
FERRARI,ROMA SPIDER,V8,"3,900 ",612,320,3.4,"240,000 ",Petrol,2+2,760,1420
TOYOTA,GR SUPRA,I4,"2,998 ",382,250,4.1,"53,900 ",Petrol,2,500,1450
TOYOTA,TOYOTA 86,4,"1,998 ",205,226,6.4,"27,000 ",Petrol,2+2,205,1250
TOYOTA,TOYOTA  GR86,4,"2,387 ",228,226,5.6,"30,000 ",Petrol,4,250,1400
TOYOTA,TOYOTA LAND CRUISER,V8,"5,663 ",381,220,6.7,"85,000 ",Diesel,7,500,2500
TOYOTA,TOYOTA SEQUOIA,V8,"5,663 ",381,200,6.9,"50,000 ",Petrol,7,651,2450
NISSAN,R,V6,"3,799 ",600,315,2.9,"113,000 ",Petrol,4,637,1600
NISSAN,370Z,V6,"3,696 ",332,250,4.7,"30,000 ",Petrol,2,366,1550
NISSAN,Z PROTO,V6,"2,998 ",400,290,4.1,"40,000 ",Petrol,2,475,1450
NISSAN,ALTIMA,I4,"2,488 ",188,225,7.3,"25,000 ",Petrol,5,380,1450
NISSAN,MAXIMA,V6,"3,498 ",300,240,5.8,"35,000 ",Petrol,5,354,1650
NISSAN,SENTRA,I4,"1,998 ",149,200,8.2,"20,000 ",Petrol,5,240,1350
NISSAN,ROGUE,I4,"2,488 ",201,200,7.5,"28,000 ",Petrol,5,270,1800
NISSAN,PATHFINDER,V6,"3,498 ",284,225,6.5,"35,000 ",Petrol,7,351,2150
NISSAN,FRONTIER,V6,"3,799 ",310,180,6.8,"30,000 ",Petrol,5,381,2150
NISSAN,TITAN,V8,"5,598 ",400,200,5.9,"40,000 ",Petrol,5,560,2450
ASTON MARTIN,VALKYRIE,V12,"6,496 ",1160,402,2.5,"3,200,000 ",Hybrid,2,900,1920
ASTON MARTIN,VALHALLA,V8,"3,996 ",1000,362,2.5,"1,100,000 ",Hybrid,2,1000,1570
ASTON MARTIN,DBS SUPERLEGGERA,V12,"5,204 ",715,340,3.4,"316,000 ",Petrol,2,900,1650
ASTON MARTIN,DB11,V12,"5,204 ",600,322,3.9,"208,000 ",Petrol,4,700,1800
ASTON MARTIN,VANTAGE,V8,"3,996 ",503,313,3.6,"142,000 ",Petrol,2,685,1500
ASTON MARTIN,DBX,V8,"3,996 ",542,291,4.5,"189,000 ",Petrol,5,700,2000
ASTON MARTIN,RAPIDE AMR,V12,"5,935 ",580,328,4.2,"240,000 ",Petrol,4,630,1900
ASTON MARTIN,VANQUISH,V12,"5,935 ",580,324,3.6,"294,000 ",Petrol,2,630,1800
